Judgements,Area.of.Law
LNIND_1988_CAL_114,To be Tested
LNIND_1956_CAL_163,To be Tested
LNIND_1976_CAL_277,To be Tested
LNIND_1980_CAL_52,To be Tested
LNIND_1955_CAL_124,To be Tested
LNIND_1954_CAL_3,To be Tested
LNIND_1951_CAL_60,To be Tested
LNIND_1954_CAL_46,To be Tested
LNIND_1976_CAL_119,To be Tested
LNIND_1993_DEL_120,To be Tested
LNIND_1988_CAL_256,To be Tested
LNIND_1954_CAL_126,To be Tested
LNIND_1956_CAL_62,To be Tested
LNIND_1993_DEL_188,To be Tested
LNIND_1952_CAL_161,To be Tested
LNIND_1993_DEL_144,To be Tested
LNIND_1988_CAL_118,To be Tested
LNIND_1993_DEL_160,To be Tested
LNIND_1993_DEL_172,To be Tested
LNIND_1980_CAL_144,To be Tested
LNIND_1980_CAL_225,To be Tested
LNIND_1980_CAL_303,To be Tested
LNIND_1980_CAL_281,To be Tested
LNIND_1980_CAL_49,To be Tested
LNIND_1957_CAL_45,To be Tested
LNIND_1957_CAL_128,To be Tested
LNIND_1976_CAL_63,To be Tested
LNIND_1976_CAL_260,To be Tested
LNIND_1952_CAL_105,To be Tested
LNIND_1988_CAL_44,To be Tested
LNIND_1951_CAL_255,To be Tested
LNIND_1993_DEL_177,To be Tested
LNIND_1952_CAL_118,To be Tested
LNIND_1980_CAL_155,To be Tested
LNIND_1988_CAL_171,To be Tested
LNIND_1951_CAL_70,To be Tested
LNIND_1993_DEL_155,To be Tested
LNIND_1952_CAL_93,To be Tested
LNIND_1988_CAL_96,To be Tested
LNIND_1988_CAL_9,To be Tested
LNIND_1980_CAL_312,To be Tested
LNIND_1956_CAL_71,To be Tested
LNIND_1993_DEL_152,To be Tested
LNIND_1980_CAL_14,To be Tested
LNIND_1976_CAL_145,To be Tested
LNIND_1953_CAL_50,To be Tested
LNIND_1955_CAL_54,To be Tested
LNIND_1954_CAL_117,To be Tested
LNIND_1955_CAL_22,To be Tested
LNIND_1955_CAL_126,To be Tested
LNIND_1993_DEL_100,To be Tested
LNIND_1993_DEL_164,To be Tested
LNIND_1951_CAL_195,To be Tested
LNIND_1957_CAL_44,To be Tested
LNIND_1952_CAL_110,To be Tested
LNIND_1953_CAL_121,To be Tested
LNIND_1952_CAL_103,To be Tested
LNIND_1957_CAL_151,To be Tested
LNIND_1993_DEL_167,To be Tested
LNIND_1951_CAL_81,To be Tested
LNIND_1951_CAL_2,To be Tested
LNIND_1988_CAL_250,To be Tested
LNIND_1980_CAL_239,To be Tested
LNIND_1957_CAL_111,To be Tested
LNIND_1980_CAL_177,To be Tested
LNIND_1952_CAL_114,To be Tested
LNIND_1951_CAL_257,To be Tested
LNIND_1956_CAL_164,To be Tested
LNIND_1955_CAL_154,To be Tested
LNIND_1957_CAL_88,To be Tested
LNIND_1988_CAL_259,To be Tested
LNIND_1954_CAL_4,To be Tested
LNIND_1957_CAL_32,To be Tested
LNIND_1976_CAL_51,To be Tested
LNIND_1953_CAL_29,To be Tested
LNIND_1955_CAL_112,To be Tested
LNIND_1980_CAL_315,To be Tested
LNIND_1954_CAL_16,To be Tested
LNIND_1988_CAL_145,To be Tested
LNIND_1979_CAL_69,To be Tested
LNIND_1980_CAL_330,To be Tested
LNIND_1957_CAL_42,To be Tested
LNIND_1953_CAL_167,To be Tested
LNIND_1988_CAL_80,To be Tested
LNIND_1980_CAL_74,To be Tested
LNIND_1993_DEL_125,To be Tested
LNIND_1956_CAL_27,To be Tested
LNIND_1954_CAL_97,To be Tested
LNIND_1976_CAL_45,To be Tested
LNIND_1980_CAL_101,To be Tested
LNIND_1956_CAL_146,To be Tested
LNIND_1980_CAL_226,To be Tested
LNIND_1980_CAL_301,To be Tested
LNIND_1956_CAL_12,To be Tested
LNIND_1976_CAL_149,To be Tested
LNIND_1980_CAL_279,To be Tested
LNIND_1980_CAL_229,To be Tested
LNIND_1988_CAL_232,To be Tested
LNIND_1957_CAL_142,To be Tested
LNIND_1988_CAL_107,To be Tested
LNIND_1951_CAL_115,Criminal Laws
LNIND_1954_CAL_37,Property Laws
LNIND_1954_CAL_72,Criminal Procedure
LNIND_1953_CAL_151,Limitation
LNIND_1980_CAL_65,Company Law
LNIND_1951_CAL_212,Civil Procedure
LNIND_1952_CAL_129,Succession Laws
LNIND_1976_CAL_157,Succession Laws
LNIND_1976_CAL_57,Civil Procedure
LNIND_1957_CAL_37,Local Government
LNIND_1980_CAL_33,Alternative Dispute Resolution
LNIND_1980_CAL_196,Succession Laws
LNIND_1954_CAL_94,Constitution
LNIND_1980_CAL_141,Income Tax
LNIND_1993_DEL_107,Tenancy Laws
LNIND_1952_CAL_108,Local Government
LNIND_1954_CAL_147,Limitation
LNIND_1976_CAL_80,Evidence
LNIND_1957_CAL_163,Criminal Procedure
LNIND_1976_CAL_7,Constitution
LNIND_1954_CAL_23,Tenancy Laws
LNIND_1951_CAL_57,Sales Tax And Vat
LNIND_1953_CAL_12,Tenancy Laws
LNIND_1979_CAL_27,Service Law
LNIND_1951_CAL_29,Tenancy Laws
LNIND_1988_CAL_233,Customs
LNIND_1976_CAL_90,Alternative Dispute Resolution
LNIND_1954_CAL_142,Income Tax
LNIND_1951_CAL_237,Local Government
LNIND_1953_CAL_198,Income Tax
LNIND_1980_CAL_1,Criminal Procedure
LNIND_1953_CAL_117,Administrative Law
LNIND_1952_CAL_18,Property Laws
LNIND_1952_CAL_153,Civil Laws
LNIND_1953_CAL_92,Income Tax
LNIND_1951_CAL_186,Tenancy Laws
LNIND_1976_CAL_156,Arbitration
LNIND_1979_CAL_132,Employment And Labour Law
LNIND_1955_CAL_44,Property Laws
LNIND_1976_CAL_66,Income Tax
LNIND_1955_CAL_29,Civil Procedure
LNIND_1955_CAL_93,Banking And Finance
LNIND_1952_CAL_23,Criminal Laws
LNIND_1956_CAL_79,Alternative Dispute Resolution
LNIND_1957_CAL_189,Civil Procedure
LNIND_1979_CAL_141,Income Tax
LNIND_1993_DEL_12,Criminal Laws
LNIND_1993_DEL_101,Property Laws
LNIND_1993_DEL_189,Criminal Laws
LNIND_1993_DEL_147,Criminal Laws
LNIND_1953_CAL_52,Arbitration
LNIND_1953_CAL_66,Criminal Procedure
LNIND_1955_CAL_55,Evidence
LNIND_1988_CAL_85,Service Law
LNIND_1953_CAL_160,Civil Procedure
LNIND_1955_CAL_197,Criminal Procedure
LNIND_1951_CAL_159,Civil Procedure
LNIND_1979_CAL_19,Property Laws
LNIND_1951_CAL_254,Criminal Laws
LNIND_1954_CAL_15,Criminal Laws
LNIND_1957_CAL_129,Employment And Labour Law
LNIND_1988_CAL_122,Service Law
LNIND_1980_CAL_202,Income Tax
LNIND_1976_CAL_256,Service Law
LNIND_1956_CAL_115,Local Government
LNIND_1988_CAL_152,Civil Laws
LNIND_1976_CAL_202,Sales Tax And Vat
LNIND_1988_CAL_55,Civil Procedure
LNIND_1954_CAL_160,Tenancy Laws
LNIND_1951_CAL_41,Intellectual Property Laws
LNIND_1976_CAL_206,Registration
LNIND_1976_CAL_67,Civil Procedure
LNIND_1980_CAL_97,Family Law
LNIND_1976_CAL_114,Income Tax
LNIND_1980_CAL_253,Tenancy Laws
LNIND_1979_CAL_156,Income Tax
LNIND_1951_CAL_126,Criminal Laws
LNIND_1976_CAL_229,Government Contracts
LNIND_1980_CAL_88,Company Law
LNIND_1976_CAL_245,Service Law
LNIND_1954_CAL_19,Criminal Procedure
LNIND_1976_CAL_197,Succession Laws
LNIND_1993_DEL_154,Company Law
LNIND_1951_CAL_34,Civil Procedure
LNIND_1956_CAL_63,Civil Laws
LNIND_1955_CAL_166,Civil Procedure
LNIND_1976_CAL_208,Civil Procedure
LNIND_1988_CAL_36,Tenancy Laws
LNIND_1980_CAL_119,Income Tax
LNIND_1951_CAL_58,Civil Procedure
LNIND_1976_CAL_300,Property Laws
LNIND_1988_CAL_60,Civil Procedure
LNIND_1993_DEL_138,Tenancy Laws
LNIND_1951_CAL_111,Civil Procedure
LNIND_1956_CAL_61,Property Laws
LNIND_1951_CAL_180,Criminal Procedure
LNIND_1976_CAL_172,Tenancy Laws
LNIND_1988_CAL_3,Criminal Laws
LNIND_1980_CAL_210,Civil Procedure
LNIND_1988_CAL_81,Limitation
LNIND_1951_CAL_35,Constitution
LNIND_1952_CAL_74,Property Laws
LNIND_1993_DEL_151,Local Government
LNIND_1980_CAL_260,Civil Procedure
LNIND_1951_CAL_91,Civil Procedure
LNIND_1951_CAL_84,Contempt Of Court
LNIND_1993_DEL_165,Tenancy Laws
LNIND_1952_CAL_172,Local Government
LNIND_1988_CAL_27,Customs
LNIND_1993_DEL_113,Tenancy Laws
LNIND_1988_CAL_238,Customs
LNIND_1979_CAL_65,Civil Procedure
LNIND_1951_CAL_3,Tenancy Laws
LNIND_1993_DEL_171,Property Laws
LNIND_1955_CAL_152,Tenancy Laws
LNIND_1993_DEL_199,Company Law
LNIND_1993_DEL_196,Local Government
LNIND_1993_DEL_143,Company Law
LNIND_1988_CAL_1,Company Law
LNIND_1952_CAL_14,Criminal Procedure
LNIND_1993_DEL_204,Civil Procedure
LNIND_1953_CAL_193,Election Laws
LNIND_1957_CAL_132,Civil Procedure
LNIND_1980_CAL_305,Company Law
LNIND_1954_CAL_80,Criminal Laws
LNIND_1980_CAL_219,Income Tax
LNIND_1988_CAL_7,Limitation
LNIND_1980_CAL_79,Civil Procedure
LNIND_1953_CAL_138,Property Laws
LNIND_1988_CAL_14,Civil Procedure
LNIND_1980_CAL_278,Income Tax
LNIND_1980_CAL_43,Customs
LNIND_1952_CAL_146,Property Laws
LNIND_1951_CAL_157,Civil Procedure
LNIND_1980_CAL_86,Income Tax
LNIND_1979_CAL_215,Constitution
LNIND_1952_CAL_138,Property Laws
LNIND_1976_CAL_254,Civil Procedure
LNIND_1988_CAL_18,Civil Procedure
LNIND_1952_CAL_111,Constitution
LNIND_1976_CAL_210,Tenancy Laws
LNIND_1988_CAL_120,Limitation
LNIND_1954_CAL_119,Property Laws
LNIND_1988_CAL_10,Customs
LNIND_1951_CAL_30,Company Law
LNIND_1979_CAL_179,Limitation
LNIND_1956_CAL_169,Transport Law
LNIND_1976_CAL_199,Tenancy Laws
LNIND_1976_CAL_127,Income Tax
LNIND_1951_CAL_164,Succession Laws
LNIND_1957_CAL_170,Civil Procedure
LNIND_1988_CAL_147,Customs
LNIND_1980_CAL_201,Income Tax
LNIND_1980_CAL_167,Company Law
LNIND_1953_CAL_16,Constitution
LNIND_1980_CAL_182,Property Laws
LNIND_1953_CAL_123,Transport Law
LNIND_1980_CAL_176,Registration
LNIND_1979_CAL_218,Tenancy Laws
LNIND_1993_DEL_133,Criminal Laws
LNIND_1954_CAL_77,Intellectual Property Laws
LNIND_1956_CAL_129,Contract
LNIND_1993_DEL_140,Transport Law
LNIND_1980_CAL_125,Family Law
LNIND_1976_CAL_292,Civil Procedure
LNIND_1954_CAL_114,Legal Profession
LNIND_1980_CAL_208,Income Tax
LNIND_1951_CAL_129,Civil Laws
LNIND_1953_CAL_88,Income Tax
LNIND_1980_CAL_164,Constitution
LNIND_1953_CAL_6,Tenancy Laws
LNIND_1980_CAL_259,Property Laws
LNIND_1988_CAL_155,Civil Procedure
LNIND_1980_CAL_76,Succession Laws
LNIND_1988_CAL_162,Property Laws
LNIND_1957_CAL_123,Local Government
LNIND_1952_CAL_6,Succession Laws
LNIND_1993_DEL_114,Criminal Laws
LNIND_1957_CAL_66,Succession Laws
LNIND_1954_CAL_8,Civil Procedure
LNIND_1988_CAL_24,Civil Laws
LNIND_1952_CAL_7,Tenancy Laws
LNIND_1956_CAL_137,Succession Laws
LNIND_1951_CAL_146,Contract
LNIND_1953_CAL_127,Tenancy Laws
LNIND_1957_CAL_36,Customs
LNIND_1951_CAL_141,Criminal Procedure
LNIND_1951_CAL_23,Local Government
LNIND_1976_CAL_168,Contract
LNIND_1952_CAL_109,Civil Procedure
LNIND_1953_CAL_63,Civil Laws
LNIND_1952_CAL_149,Customs
LNIND_1952_CAL_89,Civil Procedure
LNIND_1951_CAL_59,Civil Procedure
LNIND_1980_CAL_209,Property Laws
LNIND_1993_DEL_163,Criminal Laws
LNIND_1980_CAL_159,Employment And Labour Law
LNIND_1976_CAL_170,Administrative Law
LNIND_1953_CAL_82,Income Tax
LNIND_1980_CAL_11,Civil Procedure
LNIND_1956_CAL_30,Sales Tax And Vat
LNIND_1952_CAL_52,Civil Procedure
LNIND_1951_CAL_37,Media And Telecommunication Laws
LNIND_1993_DEL_146,Insurance Law
LNIND_1980_CAL_89,Employment And Labour Law
LNIND_1955_CAL_125,Transport Law
LNIND_1956_CAL_70,Constitution
LNIND_1979_CAL_126,Income Tax
LNIND_1953_CAL_149,Tenancy Laws
LNIND_1976_CAL_61,Income Tax
LNIND_1955_CAL_28,Local Government
LNIND_1955_CAL_110,Local Government
LNIND_1993_DEL_141,Civil Procedure
LNIND_1955_CAL_62,Property Laws
LNIND_1954_CAL_149,Limitation
LNIND_1988_CAL_265,Criminal Procedure
LNIND_1952_CAL_11,Limitation
LNIND_1993_DEL_184,Consumer Law
LNIND_1993_DEL_159,Contract
LNIND_1951_CAL_21,Sales Tax And Vat
LNIND_1954_CAL_124,Succession Laws
LNIND_1976_CAL_171,Civil Procedure
LNIND_1976_CAL_221,Civil Procedure
LNIND_1988_CAL_82,Civil Procedure
LNIND_1979_CAL_44,Limitation
LNIND_1976_CAL_252,Arbitration
LNIND_1976_CAL_138,Property Laws
LNIND_1956_CAL_90,Tenancy Laws
LNIND_1988_CAL_25,Employment And Labour Law
LNIND_1951_CAL_150,Civil Procedure
LNIND_1955_CAL_12,Property Laws
LNIND_1976_CAL_177,Tenancy Laws
LNIND_1954_CAL_64,Administrative Law
LNIND_1980_CAL_132,Income Tax
LNIND_1955_CAL_195,Transport Law
LNIND_1951_CAL_161,Civil Procedure
LNIND_1952_CAL_124,Constitution
LNIND_1980_CAL_143,Election Laws
LNIND_1980_CAL_245,Income Tax
LNIND_1976_CAL_86,Education
LNIND_1980_CAL_106,Service Law
LNIND_1957_CAL_214,Succession Laws
LNIND_1988_CAL_138,Service Law
LNIND_1980_CAL_127,Administrative Law
LNIND_1953_CAL_142,Criminal Procedure
LNIND_1952_CAL_185,Civil Procedure
LNIND_1955_CAL_116,Civil Procedure
LNIND_1956_CAL_60,Alternative Dispute Resolution
LNIND_1957_CAL_133,Contract
LNIND_1988_CAL_108,Criminal Laws
LNIND_1976_CAL_296,Partnership And Joint Ventures
LNIND_1988_CAL_100,Civil Procedure
LNIND_1957_CAL_148,Tenancy Laws
LNIND_1976_CAL_50,Civil Procedure
LNIND_1980_CAL_234,Limitation
LNIND_1993_DEL_195,Local Government
LNIND_1951_CAL_119,Tenancy Laws
LNIND_1957_CAL_5,Criminal Procedure
LNIND_1957_CAL_122,Property Laws
LNIND_1951_CAL_187,Criminal Procedure
LNIND_1954_CAL_66,Criminal Procedure
